date,News
"22 January, 2024","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 30, 2024 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended December 31, 2023."
"11 January, 2024","Credit Rating Information and Services Limited (CRISL) has assigned rating of the Company as \""AA-\"" in the long term and \""ST-3\"" in the short term along with a Stable outlook in consideration of its audited financials up to June 30, 2023 also unaudited financials up to September 30, 2023 and other relevant quantitative as well as qualitative information up to the date of rating declaration."
"27 November, 2023","(Continuation news of ACIFORMULA): ACI Foods Limited, ACI HealthCare Limited, ACI Logistics Limited, ACI Pure Flour Limited and ACI Salt Limited subject to receiving approval from the Bangladesh Securities and Exchange Commission (BSEC). (end)"
"27 November, 2023","The Company has informed that the Board of Directors of the company at its Board Meeting held on 26 November 2023 decided to issue Sukuk instruments, of a size of up to BDT 600 crores under a long term fund-raising program via a special purpose vehicle to be formed by ACI Limited, ACI Formulations Limited, ACI Biotech Limited, ACI Chemicals Limited, ACI Edible Oils Limited, (cont.)"
"16 November, 2023","Trading of the shares of the company will resume on 19.11.2023."
"15 November, 2023","Trading of the shares of the company will remain suspended on record date i.e., 16.11.2023."
"14 November, 2023","(Continuation news of ACIFORMULA): However, despite having higher financing cost mainly due to higher interest rate and utilization of working capital in line with increased sales, higher GP and controlled operating cost led to consolidated profit after tax resulting in higher consolidated EPS and NAV per share. Consolidated NOCFPS increased due to liquidation of inventory and efficient working capital management. (end)"
"14 November, 2023","(Continuation news of ACIFORMULA): Reasons for deviation in EPS, NAVPS and NOCFPS: Consolidated revenue increased mainly due to higher sales in CC & PH, Contract Manufacturing business. Higher sales along with changes in product mix in CC & PH business, led to increase overall gross profit whereas overall operating expenses increased due to efficient and effective control over operating cost. (cont.2)"
"14 November, 2023","(Q1 Un-audited): Consolidated EPS was Tk. 1.64 for July-September 2023 as against Tk. 1.55 for July-September 2022; Consolidated NOCFPS was Tk. 3.86 for July-September 2023 as against Tk. (18.65) for July-September 2022. Consolidated NAV per share was Tk. 66.21 as on September 30, 2023 and Tk. 64.57 as on June 30, 2023. (cont.1)"
"13 November, 2023","Trading of the shares of the company will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 14.11.2023 to 15.11.2023 and trading of the shares will remain suspended on record date i.e., 16.11.2023."
"08 November, 2023","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 13, 2023 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2023."
"29 October, 2023","There will be no price limit on the trading of the shares of the Company today (29.10.2023) following its corporate declaration. However, the floor price shall be applicable accordingly."
"29 October, 2023","The Board of Directors has recommended 25\% Cash Dividend for the year ended June 30, 2023. Date of AGM: 28.12.2023, Time: 10:00 AM, Venue: Digital Platform. Record Date: 16.11.2023. The Company has also reported Consolidated EPS of Tk. 4.97, Consolidated NAV per share of Tk. 64.57 and Consolidated NOCFPS of Tk. 0.24 for the year ended June 30, 2023 as against Tk. 5.14, Tk. 65.88 and Tk. 7.23 respectively for the year ended June 30, 2022."
"19 October, 2023","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 26, 2023 at 2:45 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2023."
"11 June, 2023","The company has informed that the Board of Directors approved the resignation of the previous company secretary, Mr. Nayamul Hoque. The Board also decided that Mr. Mohammad Mostafizur Rahman will be the acting Company Secretary of the company until the new Company Secretary is appointed to this position."
"02 May, 2023","(Continuation news of ACIFORMULA): Reason for significant deviation in NOCFPS: NOCFPS has been decreased due to inventory build-up for upcoming months. (end)"
"02 May, 2023","(Q3 Un-audited): Consolidated EPS was Tk. 1.33 for January-March 2023 as against Tk. 1.53 for January-March 2022; Consolidated EPS was Tk. 5.36 for July 2022-March 2023 as against Tk. 5.24 for July 2021-March 2022. Consolidated NOCFPS was Tk. (11.29) for July 2022-March 2023 as against Tk. 0.38 for July 2021-March 2022. Consolidated NAV per share was Tk. 68.74 as on March 31, 2023 and Tk. 65.88 as on June 30, 2022. (cont.)"
"24 April, 2023","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 30, 2023 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended March 31, 2023."
"31 January, 2023","(Continuation news of ACIFORMULA): However, financing cost increased mainly due to higher interest rate and utilization of working capital. Increased sales, higher GP led to higher consolidated EPS and NAV per share. Consolidated NOCFPS decreased due to inventory build-up for upcoming 3rd quarter. (end)"
"31 January, 2023","(Continuation news of ACIFORMULA): Reasons for deviation in EPS, NAVPS and NOCFPS: Consolidated revenue increased mainly due to higher sales in CC&PH, Paint and contract manufacturing business. Despite having adverse impact of BDT depreciation against USD, higher sales along with changes in product mix, led to increase overall gross profit. On the other hand, overall operating expenses increased due to normal pay rise and containment of fixed and variable expenses. (cont.2)"
"31 January, 2023","(Q2 Un-audited): Consolidated EPS was Tk. 2.49 for October-December 2022 as against Tk. 2.59 for October-December 2021; Consolidated EPS was Tk. 4.04 for July-December 2022 as against Tk. 3.71 for July-December 2021. Consolidated NOCFPS was Tk. (16.30) for July-December 2022 as against Tk. 0.22 for July-December 2021. Consolidated NAV per share was Tk. 67.41 as on December 31, 2022 and Tk. 65.88 as on June 30, 2022. (cont.1)"
"30 January, 2023","The Company has informed that it has disbursed the cash dividend for the year ended June 30, 2022 to the respective shareholders."
"25 January, 2023","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 30, 2023 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended December 31, 2022."
"12 January, 2023","Credit Rating Information and Services Limited (CRISL) has assigned rating of the Company as \""AA-\"" in the long term and \""ST-3\"" in the short term along with Stable outlook based on audited financials up to June 30, 2022, unaudited financial up to September 30, 2022 and other relevant quantitative as well as qualitative information up to the date of rating declaration."
"17 November, 2022","Trading of the shares of the Company will resume on 20.11.2022 after record date."
"16 November, 2022","Trading of the shares of the Company will remain suspended on record date i.e., 17.11.2022"
"14 November, 2022","Trading of the shares of the company will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 15.11.2022 to 16.11.2022. Trading of the shares of the Company will remain suspended on record date i.e., 17.11.2022."
"14 November, 2022","(Continuation news of ACIFORMULA): Consolidated EPS and NAVPS have increased due to higher sales alongside changes in product mix in CC&PH business which led to increase of overall gross profit and consolidated revenue. Consolidated NOCFPS decreased due to inventory build-up for upcoming 2nd quarter. (end)"
"14 November, 2022","(Q1 Un-audited): Consolidated EPS was Tk. 1.55 for July-September 2022 as against Tk. 1.12 for July-September 2021; Consolidated NOCFPS was Tk. (18.65) for July-September 2022 as against Tk. (2.14) for July-September 2021. Consolidated NAV per share was Tk. 67.43 as on September 30, 2022 and Tk. 65.88 as on June 30, 2022. (cont.)"
"07 November, 2022","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 13, 2022 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended September 30, 2022."
"27 October, 2022","(Continuation news of ACIFORMULA): Brokerage/DPs to provide the details (shareholder\'s name, BO ID, e-mail address, shareholding position, gross dividend receivable, applicable tax rate and net divided receivable) of their Margin Loan Holders who hold Company\'s share on the Record Date to share office or email to monir@aci-bd.com along with DPs Bank details (account name, account number, routing No., etc.), latest by 15 December 2022. (end)"
"27 October, 2022","The Company has requested the Shareholders to update their respective BO accounts including Routing Number with 12 digit e-TIN number, address, mobile number, e-mail address etc. through their respective DPs before the Record Date i.e., November 17, 2022. The shareholders bearing the folio numbers are also requested to update their mailing and email addresses and submit their 12 digit e-TIN certificate to company\'s share office. The company has further requested concerned (cont.)"
"27 October, 2022","There will be no price limit on the trading of the shares of the Company today (27.10.2022) following its corporate declaration."
"27 October, 2022","The Board of Directors has recommended 25\% cash dividend for the year ended June 30, 2022. Date of AGM: 26.12.2022, Time: 10:00 AM, Venue: Digital Platform. Record Date: 17.11.2022. The Company has also reported Consolidated EPS of Tk. 5.14, Consolidated NAV per share of Tk. 65.88 and Consolidated NOCFPS of Tk. 7.23 for the year ended June 30, 2022 as against Tk. 4.52, Tk. 63.59 and Tk. 12.79 respectively for the same period of the previous year."
"17 October, 2022","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 26, 2022 at 2:45 PM to consider, among others, audited financial statements of the Company for the year ended June 30, 2022."
"11 August, 2022","Referring to the BSEC letter No. SEC/SRMIC/94-36/287 dated June 30, 2022, the Company has informed that Mrs. Najma Dowla, one of the Directors of the company passed away on 28.07.2021. Her total holding 4,725 shares will be transmitted among his successors according to the Succession Certificate issued by the Honorable Court."
"13 June, 2022","The Company has informed that the Board of Directors has approved the formation of a new subsidiary company under the title of ?ACI AgroChem Limited? having its authorized capital of BDT 100 Crore and a paid up capital of BDT 2 Crore wherein ACI Formulations Limited shall hold 90\% shares subject to the approval of concerned authority."
"05 May, 2022","(Q3 Un-audited): Consolidated EPS was Tk. 1.53 for January-March 2022 as against Tk. 1.48 for January-March 2021; Consolidated EPS was Tk. 5.24 for July 2021-March 2022 as against Tk. 3.85 for July 2020-March 2021. Consolidated NOCFPS was Tk. 0.38 for July 2021-March 2022 as against Tk. 3.55 for July 2020-March 2021. Consolidated NAV per share was Tk. 65.97 as on March 31, 2022 and Tk. 63.59 as on March 31, 2021. Consolidated NOCFPS decreased due to inventory build-up for upcoming 4th quarter."
"20 April, 2022","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 28, 2022 at 2:30 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended March 31, 2022."
"31 January, 2022","(Continuation news of ACIFORMULA): Consolidated EPS increased mainly due to higher sales in CC&PH business and contract manufacturing activity alongwith paint business. Efficient and effective utilization of working capital through optimized inventory and receivable management led to higher consolidated profit after tax resulting in higher consolidated EPS. Consolidated NOCFPS decreased due to inventory build-up for upcoming 3rd quarter. (end)"
"31 January, 2022","(Q2 Un-audited): Consolidated EPS was Tk. 2.59 for October-December 2021 as against Tk. 1.96 for October-December 2020; Consolidated EPS was Tk. 3.71 for July-December 2021 as against Tk. 2.36 for July-December 2020. Consolidated NOCFPS was Tk. 0.22 for July-December 2021 as against Tk. 2.08 for July-December 2020. Consolidated NAV per share was Tk. 64.45 as on December 31, 2021 and Tk. 63.59 as on June 30, 2021. (Cont.)"
"30 January, 2022","The Company has informed that it has disbursed the cash dividend for the year ended June 30, 2021 to the respective shareholders."
"24 January, 2022","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 30, 2022 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended December 31, 2021."
"16 January, 2022","Credit Rating Information and Services Limited (CRISL) has assigned the following rating the Company as \""AA-\"" in the long term and \""ST-3\"" in the short term along with a stable outlook based on audited financials up to June 30, 2021; unaudited financials up to September 30, 2021 and other relevant quantitative as well as qualitative information up to the date of rating declaration."
"03 January, 2022","The Company has informed that it has credited the Bonus shares for the year ended on June 30, 2021 to the respective shareholders\' BO Accounts on December 29, 2021."
"18 November, 2021","Trading of the shares of the Company will resume on 21.11.2021 after record date."
"17 November, 2021","Trading of the shares of the Company will remain suspended on record date i.e., 18.11.2021."
"15 November, 2021","Trading of the shares of the Company will be allowed only in the Spot Market and Block transactions will also be settled as per Spot settlement cycle with cum benefit from 16.11.2021 to 17.11.2021. Trading of the shares of the Company will remain suspended on record date i.e., 18.11.2021."
"14 November, 2021","(cont. of ACIFORMULA): In addition to that, lower financing cost mainly due to lower interest rate and efficient & effective utilization of working capital through optimized inventory and receivable management led to higher consolidated profit after tax of Tk. 52.78 Mn against Tk 19.10 Mn of SPLY resulting in higher consolidated EPS and NAV per share. On the other hand, consolidated NOCFPS decreased due to inventory build-up for upcoming 2nd quarter. (end)"
"14 November, 2021","(cont. of ACIFORMULA): Consolidated revenue increased by around 21\% over SPLY mainly due to higher sales in CC&PH business and Contract Manufacturing Activity. Higher sales along with changes in product mix in CC&PH business, led to increase overall gross profit by 30\% over SPLY whereas overall operating expenses increased by 17.6\% (cont. 2)"
"14 November, 2021","(Q1 Un-audited): Consolidated EPS was Tk. 1.17 for July-September 2021 as against Tk. 0.42 for July-September 2020; Consolidated NOCFPS was Tk. (2.25) for July-September 2021 as against Tk. (1.99) for July-September 2020. Consolidated NAV per share was Tk. 67.95 as on September 30, 2021 and Tk. 66.77 as on June 30, 2021. (cont.1)"
"07 November, 2021","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 11, 2021 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2021."
"31 October, 2021","There will be no price limit on the trading of the shares of the Company on today (31.10.2021) for following its corporate declaration."
"31 October, 2021","(Continuation news of ACIFORMULA): (iii) Bonus Shares has been recommended for utilizing the retained earnings of the company as Capital for ongoing operations, i.e. working capital. (end)"
"31 October, 2021","(Continuation news of ACIFORMULA): The Company also has informed that disclosures with regards to Recommendation of Stock Dividend: (i) Dividend has been recommended out of accumulated profit; (ii) Dividend has not been recommended from capital reserve or revaluation reserve or any unrealized gain or out of profit earned prior to incorporation of the Company or through reducing paid up capital or through doing anything so that the post-dividend retained earnings become negative or a debit balance; (cont. 2"
"31 October, 2021","The Board of Directors has recommended 30% cash and 5% stock dividend for the year ended on June 30, 2021. Date of AGM: 26.12.2021, Time: 10:00 AM, Venue: Digital Platform. Record Date: 18.11.2021. The Company has also reported Consolidated EPS of Tk. 4.74, Consolidated NAV per share of Tk. 66.77 and Consolidated NOCFPS of Tk. 13.43 for the year ended on June 30, 2021 as against Tk. 2.06, Tk. 53.38 and Tk. 14.52 respectively for the same period of the previous year. (cont. 1)"
"28 October, 2021","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2021(today) at 6:30 PM instead of 2:45 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2021."
"19 October, 2021","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2021 at 2:45 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2021."
"25 May, 2021","(Continuation news of ACIFORMULA): Reasons for significant deviations: The consolidated revenue grew by around 16% over SPLY propelled by higher sales mainly in CC & PH business. Moreover, effective control over operating expenses coupled with lower financing cost led to higher consolidated profit after tax against SPLY resulting in higher consolidated EPS and NAV per share. On the other hand, consolidated NOCFPS decreased mainly due to inventory build-up for meeting the demand of upcoming quarter. (end)"
"25 May, 2021","(Q3 Un-audited): Consolidated EPS was Tk. 1.56 for January-March 2021 as against Tk. 0.65 for January-March 2020; Consolidated EPS was Tk. 4.04 for July 2020-March 2021 as against Tk. 1.82 for July 2019-March 2020. Consolidated NOCFPS was Tk. 3.73 for July 2020-March 2021 as against Tk. 12.09 for July 2019-March 2020. Consolidated NAV per share was Tk. 55.42 as on March 31, 2021 and Tk. 53.38 as on June 30, 2020. (cont.)"
"16 May, 2021","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on May 24, 2021 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on March 31, 2021."
"28 January, 2021","(Q2 Un-audited): Consolidated EPS was Tk. 2.06 for October-December 2020 as against Tk. 1.02 for October-December 2019; Consolidated EPS was Tk. 2.48 for July-December 2020 as against Tk. 1.17 for July-December 2019. Consolidated NOCFPS was Tk. 2.19 for July-December 2020 as against Tk. 4.77 for July-December 2019. Consolidated NAV per share was Tk. 53.86 as on December 31, 2020 and Tk. 53.38 as on June 30, 2020."
"24 January, 2021","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 28, 2021 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended on December 31, 2020."
"20 January, 2021","The Company has informed that it has disbursed the cash dividend for the year ended on June 30, 2020 to the respective shareholders' Bank Accounts through BEFTN system. The undistributed dividend, if any, (due to non-compatible BEFTN account/absent of routing number in the BO setup) dividend warrant will be distributed through courier service to the registered mailing address of the respective Shareholders."
"24 December, 2020","Credit Rating Information and Services Limited (CRISL) has rated the Company as ""A+"" in the long term and ""ST-3"" in the short term along with a stable outlook in consideration of its audited financials up to June 30, 2020; unaudited financials up to September 30, 2020 and other relevant quantitative as well as qualitative information up to the date of rating declaration."
"01 December, 2020","Trading of the shares of the Company will resume on 02.12.2020 after record date."
"30 November, 2020","Trading of the shares of the Company will remain suspended on record date i.e., 01.12.2020."
"26 November, 2020","Trading of the shares of the Company will be allowed only in the Spot Market and Block transactions will also be settled as per Spot settlement cycle with cum benefit from 29.11.2020 to 30.11.2020. Trading of the shares of the Company will remain suspended on record date i.e., 01.12.2020."
"10 November, 2020","(Q1 Un-audited): Consolidated EPS was Tk. 0.42 for July-September 2020 as against Tk. 0.15 for July-September 2019; Consolidated NOCFPS was Tk. (1.99) for July-September 2020 as against Tk. 1.15 for July-September 2019. Consolidated NAV per share was Tk. 53.80 as on September 30, 2020 and Tk. 53.38 as on June 30, 2020."
"01 November, 2020","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 09, 2020 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2020."
"29 October, 2020","There will be no price limit on the trading of the shares of the Company today (29.10.2020) following its corporate declaration, however, as per the BSEC Order No. BSEC/CMRRCD/2001-07/04 dated March 19, 2020, the floor price shall be applicable accordingly."
"29 October, 2020","The Board of Directors has recommended 20% cash dividend for the year ended on June 30, 2020. Date of AGM: 24.12.2020, Time: 10:00 AM, Venue: Digital Platform. Record Date: 01.12.2020. The Company has also reported Consolidated EPS of Tk. 2.06, Consolidated NAV per share of Tk. 53.38 and Consolidated NOCFPS of Tk. 14.52 for the year ended on June 30, 2020 as against Tk. 2.88, Tk. 54.82 and Tk. (5.88) respectively for the same period of the previous year."
"20 October, 2020","As per Regulation 19(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on October 28, 2020 at 2:45 PM to consider, among others, audited financial statements of the Company for the year ended on June 30, 2020."
"10 June, 2020","(Continuation news of ACIFORMULA): The Company also informed that the EPS has decreased due to lower sales of Tk. 667.00 Mn over SPLY caused by lower demand of paint and consumer product. On the other hand, consolidated NOCFPS improved due to better inventory management during the period. (end)"
"10 June, 2020","(Q3 Un-audited): Consolidated EPS was Tk. 0.65 for January-March 2020 as against Tk. 0.81 for January-March 2019; Consolidated EPS was Tk. 1.82 for July 2019-March 2020 as against Tk. 3.01 for July 2018-March 2019. Consolidated NOCFPS was Tk. 12.09 for July 2019-March 2020 as against Tk. (12.92) for July 2018-March 2019. Consolidated NAV per share was Tk. 53.14 as on March 31, 2020 and Tk. 54.82 as on June 30, 2019. (cont.)"
"02 June, 2020","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on June 09, 2020 at 3:00 PM to consider, among others, un-audited financial statements of the Company for the Third Quarter (Q3) period ended on March 31, 2020."
"29 January, 2020","(Continuation news of ACIFORMULA): It is to be noted that EPS was decreased due to falling rice price, lower revenue in some portfolio and increase seasonal bonus, trade incentives, reimbursement of distribution cost. NOCFPS was increased due to better working capital management. (end)"
"29 January, 2020","(Q2 Un-audited): Consolidated EPS was Tk. 1.02 for October-December 2019 as against Tk. 1.81 for October-December 2018; Consolidated EPS was Tk. 1.17 for July-December 2019 as against Tk. 2.20 for July-December 2018. Consolidated NOCFPS was Tk. 4.77 for July-December 2019 as against Tk. (10.87) for July-December 2018. Consolidated NAV per share was Tk. 52.49 as on December 31, 2019 and Tk. 54.82 as on June 30, 2019. (Cont.)"
"23 January, 2020","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on January 29, 2020 at 2:45 PM to consider, among others, un-audited financial statements of the Company for the Second Quarter (Q2) period ended on December 31, 2019."
"20 January, 2020","The Company has informed that it has disbursed the cash dividend for the year ended on June 30, 2019 to the respective shareholders' Bank Accounts through BEFTN system. The undistributed dividend, if any, (due to non-compatible BEFTN account/absent of routing number in the BO setup) are requested to collect Dividend Warrant will be distributed through courier service to the registered mailing address of the respective Shareholders."
"26 December, 2019","Credit Rating Information and Services Limited (CRISL) has rated the Company as ""AA-"" in the long term and ""ST-3"" in the short term along with a stable outlook in consideration of its audited financials up to June 30, 2019; unaudited financials up to September 30, 2019 and other relevant quantitative as well as qualitative information up to the date of rating declaration."
"03 December, 2019","Trading of the Shares of the Company will resume on 04.12.2019 after record date."
"02 December, 2019","Trading of the shares of the Company will remain suspended on record date i.e., 03.12.2019."
"28 November, 2019","Trading of the shares of the Company will be allowed only in the Spot Market and Block transactions will also be settled as per Spot settlement cycle with cum benefit from 01.12.2019 to 02.12.2019. Trading of the shares of the Company will remain suspended on record date i.e., 03.12.2019."
"11 November, 2019","(Q1 Un-audited): Consolidated EPS was Tk. 0.15 for July-September 2019 as against Tk. 0.39 for July-September 2018; Consolidated NOCFPS was Tk. 1.15 for July-September 2019 as against Tk. (4.19) for July-September 2018. Consolidated NAV per share was Tk. 54.96 as on September 30, 2019 and Tk. 54.82 as on June 30, 2019."
"04 November, 2019","As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on November 10, 2019 at 8:00 PM to consider, among others, un-audited financial statements of the Company for the First Quarter (Q1) period ended on September 30, 2019."
"27 October, 2019","There will be no price limit on the trading of the shares of the Company today (27.10.2019) following its corporate declaration."
"27 October, 2019","The Board of Directors has recommended 35% cash dividend for the year ended on June 30, 2019. Date of AGM: 23.12.2019, Time: 9:00 AM, Venue: Officers Club, 26 Baily Road, Dhaka. Record Date: 03.12.2019. The Company has also reported Consolidated EPS of Tk. 2.90, Consolidated NAV per share of Tk. 54.85 and Consolidated NOCFPS of Tk. (5.98) for the year ended on June 30, 2019 as against Tk. 2.61, Tk. 55.45 and Tk. (3.06) respectively for the same period of the previous year."
